match_status,distance_m,ienc_name,ienc_waterway,ienc_lat,ienc_lon,ienc_length_m,ienc_width_m,ienc_rise_m,app_id,app_name,app_lat,app_lon
no_match,31560.9,Sluis Aalst,Dender,50.93811,4.045786,38.5,5.1,,w_osm_549314062,Keersluis K1 te Vinderhoute,51.0862472,3.6609676
no_match,31827.2,Sluis Geraardsbergen,Dender,50.769794,3.880503,38.5,5.1,,w_osm_146572270,Ecluse nr 25,50.5987132,4.2426826
no_match,32069.4,Sluiskolk sluis 7 Helmond,Netherlands waterway,51.496094,5.652249,,7.0,,w_osm_1446067370,Keersluis Cuijk,51.7571364,5.8497737
no_match,32120.4,Sluiskolk sluis Sint Andries,Maas,51.797933,5.357751,,14.0,,w_osm_4693899017,Suatiesluis,51.7156423,4.9104224
no_match,32120.4,,Maas,51.797933,5.357752,,,,w_osm_4693899017,Suatiesluis,51.7156423,4.9104224
no_match,32447.9,Oostkolk Prinses Marijkesluis,Netherlands waterway,51.954422,5.357943,,18.0,,w_osm_1811670426,Kraaiennester Sluis,52.1590268,5.0195608
no_match,32455.6,Westkolk Prinses Marijkesluis,Netherlands waterway,51.954107,5.357595,,18.0,,w_osm_1811670426,Kraaiennester Sluis,52.1590268,5.0195608
no_match,32736.5,Sluis Denderleeuw,Dender,50.873899,4.077359,42.77,5.1,,w_osm_146572270,Ecluse nr 25,50.5987132,4.2426826
no_match,32881.6,Sportbootschleuse Harrbach,Main,49.999926,9.717423,12.5,2.5,,w_osm_1783525869,Schleuse Garstadt,49.9769662,10.1759695
no_match,32939.5,Harrbach,Main,50.000099,9.716631,299.45,12.0,,w_osm_1783525869,Schleuse Garstadt,49.9769662,10.1759695
no_match,33464.9,"Greifenstein, rechte Kammer",Donau,48.35193,16.24106,230.0,24.0,,w_osm_11346584951,Teichschleuse,48.0547616,16.3124842
no_match,33483.8,Sluiskolk sluis Amerongen,Netherlands waterway,51.976455,5.409113,,18.0,,w_osm_1811670426,Kraaiennester Sluis,52.1590268,5.0195608
no_match,33501.3,"Greifenstein, linke Kammer",Donau,48.352257,16.241021,230.0,24.0,,w_osm_11346584951,Teichschleuse,48.0547616,16.3124842
no_match,33747.6,Sluiskolk sluis Helmond,Netherlands waterway,51.466494,5.693759,,12.6,,w_osm_7689052836,"Mook, keersluis",51.7453193,5.8867625
no_match,34514.7,Sluiskolk sluis Delden,Netherlands waterway,52.246725,6.677896,140.0,12.0,,w_osm_485579816,Koppelschleuse,52.4596784,7.047626
no_match,34549.1,Sluis Teralfene,Dender,50.892196,4.081463,38.5,5.1,,w_osm_146572270,Ecluse nr 25,50.5987132,4.2426826
no_match,34722.7,Sluiskolk sluis 8 Helmond,Netherlands waterway,51.465689,5.662969,,14.0,,w_osm_7689052836,"Mook, keersluis",51.7453193,5.8867625
no_match,35102.1,Berching,Main-Donau-Kanal,49.091712,11.443173,190.0,12.0,,w_osm_2337043356,Schleuse Kelheim,48.924444,11.8513184
no_match,35159.2,Hasselt noordersas,Albertkanaal,50.941099,5.368783,135.0,15.0,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,35173.5,Hasselt middensas,Albertkanaal,50.94081,5.368777,136.0,15.0,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,35231.3,Hasselt duwvaartsas,Albertkanaal,50.940271,5.369263,135.0,15.0,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,35954.7,Sluiskolk sluis 9 Helmond,Netherlands waterway,51.447302,5.684798,,20.6,,w_osm_7689052836,"Mook, keersluis",51.7453193,5.8867625
no_match,36451.4,Geisling,Donau,48.977238,12.343984,230.0,24.0,,w_osm_2337043356,Schleuse Kelheim,48.924444,11.8513184
no_match,36899.2,"Offenbach, linke untere Kammer",Main,50.107603,8.726338,210.2,12.09,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,36956.1,Sportbootschleuse Offenbach,Main,50.108154,8.726584,20.35,3.5,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,36966.9,Schleuse Wintrich,Mosel,49.878692,6.946791,170.0,12.0,,lk294,Kanzem,49.6589,6.5606
no_match,36993.3,"Offenbach, rechte Kammer",Main,50.108125,8.727401,230.07,13.05,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,37036.4,Sportbootschleuse Wintrich,Mosel,49.879474,6.947018,18.0,33.0,,lk294,Kanzem,49.6589,6.5606
no_match,37063.1,"Offenbach, linke obere Kammer",Main,50.108245,8.72864,110.5,12.09,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,38108.9,Bootsschleuse Müden,Mosel,50.183478,7.332176,18.0,32.0,,w_osm_435099495,Schleuse Hollerich,50.3047432,7.8334156
no_match,38128.3,Schleuse Müden,Mosel,50.183224,7.332036,170.0,12.0,,w_osm_435099495,Schleuse Hollerich,50.3047432,7.8334156
no_match,38725.3,Sluiskolk sluis 10,Netherlands waterway,51.416703,5.701173,,9.8,,w_osm_7689052836,"Mook, keersluis",51.7453193,5.8867625
no_match,38764.9,Sluiskolk sluis 10,Netherlands waterway,51.416295,5.701316,,9.8,,w_osm_7689052836,"Mook, keersluis",51.7453193,5.8867625
no_match,39262.4,Diepenbeek noordersas,Albertkanaal,50.938744,5.432061,136.0,15.0,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,39273.4,Diepenbeek middensas,Albertkanaal,50.938456,5.432024,135.0,15.0,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
